"cena";"price"
"cesky";"czech"
"dalsi";"next"
"heslo";"password"
"kariera";"career"
"katalogy";"catalogs"
"kontakt";"contact"
"koupit";"buy"
"kosik";"cart"
"kusu";"pcs."
"odhlasit";"logout"
"onas";"about"
"otevrit kosik";"show cart"
"predchozi";"previous"
"pocet";"count"
"polozek";"items"
"podminky";"terms of use"
"pol_1";"item"
"pol_2";"items"
"pol_5";"items"
"posledni";"last"
"prazdny kosik";"your cart is empty."
"prihlaseni";"login"
"prihlaseny uzivatel";"logged user"
"prihlasit se";"login"
"prodejny";"our shops"
"prvni";"first"
"radit dle";"order by"
"registrace";"register"
"slovensky";"slovak"
"stran";"pages"
"strana";"page"
"uvod";"home"
"vysypat kosik";"empty cart"
"uvod_kat";"top"
"uzivatelske jmeno";"login name"
"zapomenute heslo";"forgotten password"
"zakl.cena.";"zákl.cena"
"sl.";"sl."

"";""
"";""
"";""
"";""
"";""
